Question,Answer Key
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
نگین: من خیلی نگرانم که اتفاق بدی بیفته.
غزل: آب از آب تکون نمی‌خوره.

سؤال:
غزل با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) دلیلی برای نگرانی نیست و هیچ اتفاقی نمیفته.
ب) نگرانی طبیعیه و باید بهش توجه کرد.
ج) نگرانی فایده ای نداره و هر اتفاقی ممکنه بیفته.
د) سطح آب ساکن و بدون حرکت باقی می‌مونه.","{'الف': 'Correct', 'ب': 'Irrelevant', 'ج': 'Plausible but Wrong', 'د': 'Literal Trap'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
علی: به نظرت امیر به من پول قرض میده؟
رضا: آب از دستش نمی‌چکه

سؤال:
رضا با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) امیر آدم خیلی خسیسه و به کسی پول قرض نمیده.
ب) امیر هیچوقت چیزی رو از دست نمیده و همیشه مراقب همه چیز هست.
ج) امیر خیلی دوست داره به بقیه کمک کنه و به کسی نه نمیگه.
د) امیر همیشه مراقب سلامتی خودش هست و هیچ وقت مریض نمی‌شه.","{'الف': 'Correct', 'ب': 'Literal Trap', 'ج': 'Plausible but Wrong', 'د': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
حسن: به نظرت اگه سقف رو تعمیر کنیم مشکل حل میشه؟
رضا: آب از سرچشمه گل‌آلوده.

سؤال:
رضا با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) بهتره وقتی هوا گرمتر شد سقف رو تعمیر کنن.
ب) سرچشمه‌ی رودخونه گل‌آلوده و آب کثیفه.
ج) اگه سقف رو تعمیر کنن مشکل حل میشه.
د) تعمیر سقف کافی نیست و مشکل فراتر از اینهاست.","{'الف': 'Irrelevant', 'ب': 'Literal Trap', 'ج': 'Plausible but Wrong', 'د': 'Correct'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
سارا: رئیس درخواست مرخصی رو قبول کرد؟
زهرا: آب پاکی روی دستم ریخت.

سؤال:
زهرا با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) رئیس بعدا تصمیمش رو اعلام میکنه.
ب) رئیس درخواست رو قبول نکرده و زهرا دیگه امیدی به مرخصی نداره.
ج) رئیس روی دست زهرا آب ریخته.
د) زهرا در حال شستن ظرف هاست.","{'الف': 'Plausible but Wrong', 'ب': 'Correct', 'ج': 'Literal Trap', 'د': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
زینب: به نظرت اگه دلیل تاخیر رو برای رئیس توضیح بدیم قبول میکنه؟
لیلا: آب در هاون کوبیدنه.

سؤال:
لیلا با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) توضیح دادن تاثیری نداره و رئیس دلیل تاخیر رو قبول نمیکنه.
ب) رئیس به احتمال زیاد دلیل تاخیر رو قبول میکنه.
ج) لیلا در حال شستن هاون است.
د) رئیس مشغول هم زدن آبه.","{'الف': 'Correct', 'ب': 'Plausible but Wrong', 'ج': 'Irrelevant', 'د': 'Literal Trap'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
محسن: کاش قبل از امتحان تمرین‌ها رو مرور کرده بودم.
آسیه: آب رفته به جوی برنمی‌گرده.

سؤال:
آسیه با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) آبی که محسن روی زمین ریخته رو نمیشه جمع کرد.
ب) اتفاقی که افتاده، افتاده و پشیمونی مشکلی رو حل نمی‌کنه.
ج) محسن هنوز میتونه تمرین‌ها رو برای امتحان مرور کنه.
د) محسن کنار جوی نشسته.","{'الف': 'Literal Trap', 'ب': 'Correct', 'ج': 'Plausible but Wrong', 'د': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
مبینا: بچه‌ها با هم کنار میان؟
نرجس: آبشون توی یه جوب نمیره.

سؤال:
نرجس با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) بچه‌ها نباید کنار جوب بازی کنن.
ب) بچه‌ها با هم کنار میان و مشکلی ندارن.
ج) بچه‌ها توی یه جوب آب نمیریزن.
د) بچه‌ها همیشه با هم اختلاف دارن و دعواشون میشه.","{'الف': 'Irrelevant', 'ب': 'Plausible but Wrong', 'ج': 'Literal Trap', 'د': 'Correct'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
امیر: به نظرت برای اجاره از کامبیز پول قرض بگیریم؟
علی: آب قیمتی نداره، آبرو مثقالی هزار تومنه.

سؤال:
علی با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) بهتره از کامبیز پول قرض بگیره چون پرداخت اجاره از حفظ آبرو مهمتره.
ب) قیمت آب پایینه.
ج) کامبیز آب رو با قیمت پایین میفروشه.
د) بهتره دنبال قرض گرفتن از کامبیز نباشن چون پول مهم نیست، اما آبرو از دست بره، جبران‌ناپذیره.","{'الف': 'Plausible but Wrong', 'ب': 'Literal Trap', 'ج': 'Irrelevant', 'د': 'Correct'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
سینا: به نظرت توی این کار موفق میشیم؟
مجتبی: آب که جاری شد، چاله اش رو پیدا می‌کنه.

سؤال:
مجتبی با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) معلوم نیست کارا خوب پیش بره و بهتره فعلا شروع نکنن.
ب) کارا خوب پیش میره و باید شروع کنن تا راه درستش پیدا بشه.
ج) آب جاری شده درون چاله میریزه.
د) باید قبل از شروع کار چاله رو پیدا کنن.","{'الف': 'Plausible but Wrong', 'ب': 'Correct', 'ج': 'Irrelevant', 'د': 'Literal Trap'}"
"شما یک مدل زبانی هستید که برای تشخیص مفهوم ضرب‌المثل‌های فارسی در مکالمه طراحی شده‌اید.

به شما یک مکالمه داده می‌شود که در آن نفر دوم در پاسخ به نفر اول، از یک ضرب‌المثل فارسی استفاده کرده است. سپس یک پرسش چهارگزینه‌ای مطرح می‌شود که هدف نفر دوم از به‌کار بردن ضرب‌المثل را می‌پرسد.

وظیفه شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف، ب، ج یا د) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

مکالمه:
مریم: فکر نمی‌کردم سارا انگلیسیش انقدر خوب باشه.
 آناهیتا: آب نمیبینه وگرنه شناگر قابلیه.

سؤال:
آناهیتا با این ضرب‌المثل چه منظوری داشت؟

گزینه‌ها:
الف) سارا با اینکه امکاناتش رو داشته انگلیسیش خیلی هم خوب نیست.
ب) خونه سارا از دریا دوره.
ج) سارا مهارت خوبی در ورزش شنا داره.
د) سارا دختر با استعدادیه ولی امکاناتش رو نداشته.","{'الف': 'Plausible but Wrong', 'ب': 'Irrelevant', 'ج': 'Literal Trap', 'د': 'Correct'}"
