Question,Answer Key
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
ز آواز روبه نترسد پلنگ.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) A leopard cannot change its spots.
ب) His bark is worse than his bite.","{'الف': 'Irrelevant', 'ب': 'Equivalent'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
ز احمق بگریز، چون عیسی هم گریخت.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) It is better to be alone than in bad company.
ب) Fools rush in where angels fear to tread.","{'الف': 'Equivalent', 'ب': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زاغ سیاه کسی را چوب زدن.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) To watch someone like a hawk.
ب) To beat a dead horse.","{'الف': 'Equivalent', 'ب': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زاییدن بی‌درد نمی‌شود.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) Don't throw the baby out with the bathwater.
ب) No pain, no gain.","{'الف': 'Irrelevant', 'ب': 'Equivalent'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زبان بادبزن جگر سوخته است.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) A trouble shared is a trouble halved.
ب) Fan the flames.","{'الف': 'Equivalent', 'ب': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زبان بنده، قلم خداست.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) The pen is mightier than the sword.
ب) Be careful what you wish for.","{'الف': 'Irrelevant', 'ب': 'Equivalent'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زبان خر را خرکچی می‌داند.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) Set a thief to catch a thief.
ب) You can lead a horse to water, but you can't make it drink.","{'الف': 'Equivalent', 'ب': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زبان خوش، مار را از سوراخ بیرون می‌کشد.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) A snake in the grass.
ب) You can catch more flies with honey than with vinegar.","{'الف': 'Irrelevant', 'ب': 'Equivalent'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زبان سرخ سر سبز می‌دهد بر باد.

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) Loose lips sink ships.
ب) The grass is always greener on the other side of the fence.","{'الف': 'Equivalent', 'ب': 'Irrelevant'}"
"شما یک مدل زبانی هستید که برای تشخیص معادل معنایی مناسب ضرب‌المثل‌های فارسی در زبان انگلیسی طراحی شده‌اید.

به شما یک ضرب‌المثل فارسی داده می‌شود. سپس یک پرسش دوگزینه‌ای مطرح می‌شود که در آن دو ضرب‌المثل انگلیسی ارائه شده است و از شما خواسته می‌شود تشخیص دهید کدام‌ یک از آن‌ها از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد.

وظیفه‌ی شما این است که تنها یک گزینه‌ی صحیح را انتخاب کنید. پاسخ شما باید فقط شامل حرف گزینه‌ی درست (الف یا ب) باشد و هیچ متن یا توضیح اضافی ارائه نکنید.

ضرب‌المثل فارسی:
زبان سست و حرف درست!

سؤال:
کدام‌ یک از این دو ضرب‌المثل انگلیسی از نظر کاربرد و معنا بیشترین شباهت را با ضرب‌المثل فارسی داده‌شده دارد؟

گزینه‌ها:
الف) Better to remain silent and be thought a fool than to speak and to remove all doubt.
ب) A soft tongue breaks the bone.","{'الف': 'Equivalent', 'ب': 'Irrelevant'}"
